"package"	"afmfile"	"fontfile"	"FullName"	"FamilyName"	"FontName"	"Bold"	"Italic"	"Symbol"	"afmsymfile"
"66"	NA	"FreeSansOblique.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeSansOblique.ttf"	"FreeSans Oblique"	"FreeSans"	"FreeSansOblique"	FALSE	TRUE	FALSE	NA
"67"	NA	"FreeSerif.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeSerif.ttf"	"FreeSerif"	"FreeSerif"	"FreeSerif"	FALSE	FALSE	FALSE	NA
"68"	NA	"FreeSerifBold.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeSerifBold.ttf"	"FreeSerif Bold"	"FreeSerif"	"FreeSerifBold"	TRUE	FALSE	FALSE	NA
"69"	NA	"FreeSerifBoldItalic.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeSerifBoldItalic.ttf"	"FreeSerif Bold Italic"	"FreeSerif"	"FreeSerifBoldItalic"	TRUE	TRUE	FALSE	NA
"70"	NA	"FreeSerifItalic.afm.gz"	"/usr/share/fonts/truetype/freefont/FreeSerifItalic.ttf"	"FreeSerif Italic"	"FreeSerif"	"FreeSerifItalic"	FALSE	TRUE	FALSE	NA
"71"	NA	"Gargi.afm.gz"	"/usr/share/fonts/truetype/Gargi/Gargi.ttf"	"Gargi"	"Gargi"	"Gargi"	FALSE	FALSE	FALSE	NA
"72"	NA	"Garuda.afm.gz"	"/usr/share/fonts/truetype/tlwg/Garuda.ttf"	"Garuda"	"Garuda"	"Garuda"	FALSE	FALSE	FALSE	NA
"73"	NA	"Garuda-Bold.afm.gz"	"/usr/share/fonts/truetype/tlwg/Garuda-Bold.ttf"	"Garuda Bold"	"Garuda"	"Garuda-Bold"	TRUE	FALSE	FALSE	NA
"74"	NA	"Garuda-BoldOblique.afm.gz"	"/usr/share/fonts/truetype/tlwg/Garuda-BoldOblique.ttf"	"Garuda Bold Oblique"	"Garuda"	"Garuda-BoldOblique"	TRUE	TRUE	FALSE	NA
"75"	NA	"Garuda-Oblique.afm.gz"	"/usr/share/fonts/truetype/tlwg/Garuda-Oblique.ttf"	"Garuda Oblique"	"Garuda"	"Garuda-Oblique"	FALSE	TRUE	FALSE	NA
