"package"	"afmfile"	"fontfile"	"FullName"	"FamilyName"	"FontName"	"Bold"	"Italic"	"Symbol"	"afmsymfile"
"245"	NA	"NotoSansBengali-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansBengali-Bold.ttf"	"Noto Sans Bengali Bold"	"Noto Sans Bengali"	"NotoSansBengali-Bold"	TRUE	FALSE	FALSE	NA
"246"	NA	"NotoSansBengali-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansBengali-Regular.ttf"	"Noto Sans Bengali Regular"	"Noto Sans Bengali"	"NotoSansBengali-Regular"	FALSE	FALSE	FALSE	NA
"247"	NA	"NotoSansBengaliUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansBengaliUI-Bold.ttf"	"Noto Sans Bengali UI Bold"	"Noto Sans Bengali UI"	"NotoSansBengaliUI-Bold"	TRUE	FALSE	FALSE	NA
"248"	NA	"NotoSansBengaliUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansBengaliUI-Regular.ttf"	"Noto Sans Bengali UI Regular"	"Noto Sans Bengali UI"	"NotoSansBengaliUI-Regular"	FALSE	FALSE	FALSE	NA
"249"	NA	"NotoSans-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSans-Bold.ttf"	"Noto Sans Bold"	"Noto Sans"	"NotoSans-Bold"	TRUE	FALSE	FALSE	NA
"250"	NA	"NotoSans-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSans-BoldItalic.ttf"	"Noto Sans Bold Italic"	"Noto Sans"	"NotoSans-BoldItalic"	TRUE	TRUE	FALSE	NA
"251"	NA	"NotoSansBuhid-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansBuhid-Regular.ttf"	"Noto Sans Buhid Regular"	"Noto Sans Buhid"	"NotoSansBuhid-Regular"	FALSE	FALSE	FALSE	NA
"252"	NA	"NotoSansCarian-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansCarian-Regular.ttf"	"Noto Sans Carian Regular"	"Noto Sans Carian"	"NotoSansCarian-Regular"	FALSE	FALSE	FALSE	NA
"253"	NA	"NotoSansChakma-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansChakma-Regular.ttf"	"Noto Sans Chakma Regular"	"Noto Sans Chakma"	"NotoSansChakma-Regular"	FALSE	FALSE	FALSE	NA
"254"	NA	"NotoSansCherokee-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansCherokee-Bold.ttf"	"Noto Sans Cherokee Bold"	"Noto Sans Cherokee"	"NotoSansCherokee-Bold"	TRUE	FALSE	FALSE	NA
"255"	NA	"NotoSansCherokee-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansCherokee-Regular.ttf"	"Noto Sans Cherokee Regular"	"Noto Sans Cherokee"	"NotoSansCherokee-Regular"	FALSE	FALSE	FALSE	NA
"256"	NA	"NotoSansCypriot-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansCypriot-Regular.ttf"	"Noto Sans Cypriot Regular"	"Noto Sans Cypriot"	"NotoSansCypriot-Regular"	FALSE	FALSE	FALSE	NA
"257"	NA	"NotoSansDeseret-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansDeseret-Regular.ttf"	"Noto Sans Deseret Regular"	"Noto Sans Deseret"	"NotoSansDeseret-Regular"	FALSE	FALSE	FALSE	NA
"258"	NA	"NotoSansDevanagari-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansDevanagari-Bold.ttf"	"Noto Sans Devanagari Bold"	"Noto Sans Devanagari"	"NotoSansDevanagari-Bold"	TRUE	FALSE	FALSE	NA
"259"	NA	"NotoSansDevanagari-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansDevanagari-Regular.ttf"	"Noto Sans Devanagari Regular"	"Noto Sans Devanagari"	"NotoSansDevanagari-Regular"	FALSE	FALSE	FALSE	NA
"260"	NA	"NotoSansDevanagariUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansDevanagariUI-Bold.ttf"	"Noto Sans Devanagari UI Bold"	"Noto Sans Devanagari UI"	"NotoSansDevanagariUI-Bold"	TRUE	FALSE	FALSE	NA
"261"	NA	"NotoSansDevanagariUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansDevanagariUI-Regular.ttf"	"Noto Sans Devanagari UI Regular"	"Noto Sans Devanagari UI"	"NotoSansDevanagariUI-Regular"	FALSE	FALSE	FALSE	NA
"262"	NA	"NotoSansDisplay-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansDisplay-Bold.ttf"	"Noto Sans Display Bold"	"Noto Sans Disp"	"NotoSansDisplay-Bold"	TRUE	FALSE	FALSE	NA
"263"	NA	"NotoSansDisplay-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansDisplay-BoldItalic.ttf"	"Noto Sans Display Bold Italic"	"Noto Sans Disp"	"NotoSansDisplay-BoldItalic"	TRUE	TRUE	FALSE	NA
"264"	NA	"NotoSansDisplay-Italic.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansDisplay-Italic.ttf"	"Noto Sans Display Italic"	"Noto Sans Disp"	"NotoSansDisplay-Italic"	FALSE	TRUE	FALSE	NA
"265"	NA	"NotoSansDisplay-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansDisplay-Regular.ttf"	"Noto Sans Display Regular"	"Noto Sans Disp"	"NotoSansDisplay-Regular"	FALSE	FALSE	FALSE	NA
"266"	NA	"NotoSansEthiopic-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansEthiopic-Bold.ttf"	"Noto Sans Ethiopic Bold"	"Noto Sans Ethiopic"	"NotoSansEthiopic-Bold"	TRUE	FALSE	FALSE	NA
"267"	NA	"NotoSansEthiopic-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansEthiopic-Regular.ttf"	"Noto Sans Ethiopic Regular"	"Noto Sans Ethiopic"	"NotoSansEthiopic-Regular"	FALSE	FALSE	FALSE	NA
"268"	NA	"NotoSansGeorgian-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGeorgian-Bold.ttf"	"Noto Sans Georgian Bold"	"Noto Sans Georgian"	"NotoSansGeorgian-Bold"	TRUE	FALSE	FALSE	NA
"269"	NA	"NotoSansGeorgian-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGeorgian-Regular.ttf"	"Noto Sans Georgian Regular"	"Noto Sans Georgian"	"NotoSansGeorgian-Regular"	FALSE	FALSE	FALSE	NA
"270"	NA	"NotoSansGlagolitic-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGlagolitic-Regular.ttf"	"Noto Sans Glagolitic Regular"	"Noto Sans Glagolitic"	"NotoSansGlagolitic-Regular"	FALSE	FALSE	FALSE	NA
"271"	NA	"NotoSansGothic-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGothic-Regular.ttf"	"Noto Sans Gothic Regular"	"Noto Sans Gothic"	"NotoSansGothic-Regular"	FALSE	FALSE	FALSE	NA
"272"	NA	"NotoSansGujarati-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGujarati-Regular.ttf"	"Noto Sans Gujarati"	"Noto Sans Gujarati"	"NotoSansGujarati"	FALSE	FALSE	FALSE	NA
"273"	NA	"NotoSansGujarati-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGujarati-Bold.ttf"	"Noto Sans Gujarati Bold"	"Noto Sans Gujarati"	"NotoSansGujarati-Bold"	TRUE	FALSE	FALSE	NA
"274"	NA	"NotoSansGujaratiUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGujaratiUI-Regular.ttf"	"Noto Sans Gujarati UI"	"Noto Sans Gujarati UI"	"NotoSansGujaratiUI"	FALSE	FALSE	FALSE	NA
"275"	NA	"NotoSansGujaratiUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGujaratiUI-Bold.ttf"	"Noto Sans Gujarati UI Bold"	"Noto Sans Gujarati UI"	"NotoSansGujaratiUI-Bold"	TRUE	FALSE	FALSE	NA
"276"	NA	"NotoSansGurmukhi-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGurmukhi-Regular.ttf"	"Noto Sans Gurmukhi"	"Noto Sans Gurmukhi"	"NotoSansGurmukhi"	FALSE	FALSE	FALSE	NA
"277"	NA	"NotoSansGurmukhi-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGurmukhi-Bold.ttf"	"Noto Sans Gurmukhi Bold"	"Noto Sans Gurmukhi"	"NotoSansGurmukhi-Bold"	TRUE	FALSE	FALSE	NA
"278"	NA	"NotoSansGurmukhiUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGurmukhiUI-Regular.ttf"	"Noto Sans Gurmukhi UI"	"Noto Sans Gurmukhi UI"	"NotoSansGurmukhiUI"	FALSE	FALSE	FALSE	NA
"279"	NA	"NotoSansGurmukhiUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansGurmukhiUI-Bold.ttf"	"Noto Sans Gurmukhi UI Bold"	"Noto Sans Gurmukhi UI"	"NotoSansGurmukhiUI-Bold"	TRUE	FALSE	FALSE	NA
"280"	NA	"NotoSansHebrew-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansHebrew-Bold.ttf"	"Noto Sans Hebrew Bold"	"Noto Sans Hebrew"	"NotoSansHebrew-Bold"	TRUE	FALSE	FALSE	NA
"281"	NA	"NotoSansHebrew-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansHebrew-Regular.ttf"	"Noto Sans Hebrew Regular"	"Noto Sans Hebrew"	"NotoSansHebrew-Regular"	FALSE	FALSE	FALSE	NA
"282"	NA	"NotoSans-Italic.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSans-Italic.ttf"	"Noto Sans Italic"	"Noto Sans"	"NotoSans-Italic"	FALSE	TRUE	FALSE	NA
"283"	NA	"NotoSansKannada-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansKannada-Regular.ttf"	"Noto Sans Kannada"	"Noto Sans Kannada"	"NotoSansKannada"	FALSE	FALSE	FALSE	NA
"284"	NA	"NotoSansKannada-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansKannada-Bold.ttf"	"Noto Sans Kannada Bold"	"Noto Sans Kannada"	"NotoSansKannada-Bold"	TRUE	FALSE	FALSE	NA
"285"	NA	"NotoSansKannadaUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansKannadaUI-Regular.ttf"	"Noto Sans Kannada UI"	"Noto Sans Kannada UI"	"NotoSansKannadaUI"	FALSE	FALSE	FALSE	NA
"286"	NA	"NotoSansKannadaUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansKannadaUI-Bold.ttf"	"Noto Sans Kannada UI Bold"	"Noto Sans Kannada UI"	"NotoSansKannadaUI-Bold"	TRUE	FALSE	FALSE	NA
"287"	NA	"NotoSansKayahLi-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansKayahLi-Regular.ttf"	"Noto Sans Kayah Li Regular"	"Noto Sans Kayah Li"	"NotoSansKayahLi-Regular"	FALSE	FALSE	FALSE	NA
"288"	NA	"NotoSansKhmer-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansKhmer-Bold.ttf"	"Noto Sans Khmer Bold"	"Noto Sans Khmer"	"NotoSansKhmer-Bold"	TRUE	FALSE	FALSE	NA
"289"	NA	"NotoSansKhmer-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansKhmer-Regular.ttf"	"Noto Sans Khmer Regular"	"Noto Sans Khmer"	"NotoSansKhmer-Regular"	FALSE	FALSE	FALSE	NA
"290"	NA	"NotoSansKhmerUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansKhmerUI-Bold.ttf"	"Noto Sans Khmer UI Bold"	"Noto Sans Khmer UI"	"NotoSansKhmerUI-Bold"	TRUE	FALSE	FALSE	NA
"291"	NA	"NotoSansKhmerUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansKhmerUI-Regular.ttf"	"Noto Sans Khmer UI Regular"	"Noto Sans Khmer UI"	"NotoSansKhmerUI-Regular"	FALSE	FALSE	FALSE	NA
"292"	NA	"NotoSansLao-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansLao-Bold.ttf"	"Noto Sans Lao Bold"	"Noto Sans Lao"	"NotoSansLao-Bold"	TRUE	FALSE	FALSE	NA
"293"	NA	"NotoSansLao-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansLao-Regular.ttf"	"Noto Sans Lao Regular"	"Noto Sans Lao"	"NotoSansLao-Regular"	FALSE	FALSE	FALSE	NA
"294"	NA	"NotoSansLaoUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansLaoUI-Bold.ttf"	"Noto Sans Lao UI Bold"	"Noto Sans Lao UI"	"NotoSansLaoUI-Bold"	TRUE	FALSE	FALSE	NA
"295"	NA	"NotoSansLaoUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansLaoUI-Regular.ttf"	"Noto Sans Lao UI Regular"	"Noto Sans Lao UI"	"NotoSansLaoUI-Regular"	FALSE	FALSE	FALSE	NA
"296"	NA	"NotoSansLisu-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansLisu-Regular.ttf"	"Noto Sans Lisu Regular"	"Noto Sans Lisu"	"NotoSansLisu-Regular"	FALSE	FALSE	FALSE	NA
"297"	NA	"NotoSansMalayalam-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMalayalam-Regular.ttf"	"Noto Sans Malayalam"	"Noto Sans Malayalam"	"NotoSansMalayalam"	FALSE	FALSE	FALSE	NA
"298"	NA	"NotoSansMalayalam-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMalayalam-Bold.ttf"	"Noto Sans Malayalam Bold"	"Noto Sans Malayalam"	"NotoSansMalayalam-Bold"	TRUE	FALSE	FALSE	NA
"299"	NA	"NotoSansMalayalamUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMalayalamUI-Regular.ttf"	"Noto Sans Malayalam UI"	"Noto Sans Malayalam UI"	"NotoSansMalayalamUI"	FALSE	FALSE	FALSE	NA
"300"	NA	"NotoSansMalayalamUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMalayalamUI-Bold.ttf"	"Noto Sans Malayalam UI Bold"	"Noto Sans Malayalam UI"	"NotoSansMalayalamUI-Bold"	TRUE	FALSE	FALSE	NA
"301"	NA	"NotoSansMandaic-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMandaic-Regular.ttf"	"Noto Sans Mandaic Regular"	"Noto Sans Mandaic"	"NotoSansMandaic-Regular"	FALSE	FALSE	FALSE	NA
"302"	NA	"NotoSansMono-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMono-Bold.ttf"	"Noto Sans Mono Bold"	"Noto Sans Mono"	"NotoSansMono-Bold"	TRUE	FALSE	FALSE	NA
"303"	NA	"NotoSansMono-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMono-Regular.ttf"	"Noto Sans Mono Regular"	"Noto Sans Mono"	"NotoSansMono-Regular"	FALSE	FALSE	FALSE	NA
"304"	NA	"NotoSansMyanmar-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMyanmar-Bold.ttf"	"Noto Sans Myanmar Bold"	"Noto Sans Myanmar"	"NotoSansMyanmar-Bold"	TRUE	FALSE	FALSE	NA
"305"	NA	"NotoSansMyanmar-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMyanmar-Regular.ttf"	"Noto Sans Myanmar Regular"	"Noto Sans Myanmar"	"NotoSansMyanmar-Regular"	FALSE	FALSE	FALSE	NA
"306"	NA	"NotoSansMyanmarUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMyanmarUI-Bold.ttf"	"Noto Sans Myanmar UI Bold"	"Noto Sans Myanmar UI"	"NotoSansMyanmarUI-Bold"	TRUE	FALSE	FALSE	NA
"307"	NA	"NotoSansMyanmarUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansMyanmarUI-Regular.ttf"	"Noto Sans Myanmar UI Regular"	"Noto Sans Myanmar UI"	"NotoSansMyanmarUI-Regular"	FALSE	FALSE	FALSE	NA
"308"	NA	"NotoSansNKo-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansNKo-Regular.ttf"	"Noto Sans NKo Regular"	"Noto Sans N'Ko"	"NotoSansNKo-Regular"	FALSE	FALSE	FALSE	NA
"309"	NA	"NotoSansOlChiki-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansOlChiki-Regular.ttf"	"Noto Sans Ol Chiki Regular"	"Noto Sans Ol Chiki"	"NotoSansOlChiki-Regular"	FALSE	FALSE	FALSE	NA
"310"	NA	"NotoSansOldTurkic-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansOldTurkic-Regular.ttf"	"Noto Sans Old Turkic Regular"	"Noto Sans Old Turkic"	"NotoSansOldTurkic-Regular"	FALSE	FALSE	FALSE	NA
"311"	NA	"NotoSansOriya-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansOriya-Regular.ttf"	"Noto Sans Oriya"	"Noto Sans Oriya"	"NotoSansOriya"	FALSE	FALSE	FALSE	NA
"312"	NA	"NotoSansOriya-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansOriya-Bold.ttf"	"Noto Sans Oriya Bold"	"Noto Sans Oriya"	"NotoSansOriya-Bold"	TRUE	FALSE	FALSE	NA
"313"	NA	"NotoSansOriyaUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansOriyaUI-Regular.ttf"	"Noto Sans Oriya UI"	"Noto Sans Oriya UI"	"NotoSansOriyaUI"	FALSE	FALSE	FALSE	NA
"314"	NA	"NotoSansOriyaUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansOriyaUI-Bold.ttf"	"Noto Sans Oriya UI Bold"	"Noto Sans Oriya UI"	"NotoSansOriyaUI-Bold"	TRUE	FALSE	FALSE	NA
"315"	NA	"NotoSansOsage-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansOsage-Regular.ttf"	"Noto Sans Osage Regular"	"Noto Sans Osage"	"NotoSansOsage-Regular"	FALSE	FALSE	FALSE	NA
"316"	NA	"NotoSansOsmanya-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansOsmanya-Regular.ttf"	"Noto Sans Osmanya Regular"	"Noto Sans Osmanya"	"NotoSansOsmanya-Regular"	FALSE	FALSE	FALSE	NA
"317"	NA	"NotoSans-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSans-Regular.ttf"	"Noto Sans Regular"	"Noto Sans"	"NotoSans-Regular"	FALSE	FALSE	FALSE	NA
"318"	NA	"NotoSansShavian-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansShavian-Regular.ttf"	"Noto Sans Shavian Regular"	"Noto Sans Shavian"	"NotoSansShavian-Regular"	FALSE	FALSE	FALSE	NA
"319"	NA	"NotoSansSinhala-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansSinhala-Bold.ttf"	"Noto Sans Sinhala Bold"	"Noto Sans Sinhala"	"NotoSansSinhala-Bold"	TRUE	FALSE	FALSE	NA
"320"	NA	"NotoSansSinhala-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansSinhala-Regular.ttf"	"Noto Sans Sinhala Regular"	"Noto Sans Sinhala"	"NotoSansSinhala-Regular"	FALSE	FALSE	FALSE	NA
"321"	NA	"NotoSansSinhalaUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansSinhalaUI-Bold.ttf"	"Noto Sans Sinhala UI Bold"	"Noto Sans Sinhala UI"	"NotoSansSinhalaUI-Bold"	TRUE	FALSE	FALSE	NA
"322"	NA	"NotoSansSinhalaUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansSinhalaUI-Regular.ttf"	"Noto Sans Sinhala UI Regular"	"Noto Sans Sinhala UI"	"NotoSansSinhalaUI-Regular"	FALSE	FALSE	FALSE	NA
"323"	NA	"NotoSansSymbols-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansSymbols-Bold.ttf"	"Noto Sans Symbols Bold"	"Noto Sans Symbols"	"NotoSansSymbols-Bold"	TRUE	FALSE	TRUE	NA
"324"	NA	"NotoSansSymbols-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansSymbols-Regular.ttf"	"Noto Sans Symbols Regular"	"Noto Sans Symbols"	"NotoSansSymbols-Regular"	FALSE	FALSE	TRUE	NA
"325"	NA	"NotoSansTamil-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTamil-Bold.ttf"	"Noto Sans Tamil Bold"	"Noto Sans Tamil"	"NotoSansTamil-Bold"	TRUE	FALSE	FALSE	NA
"326"	NA	"NotoSansTamil-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTamil-Regular.ttf"	"Noto Sans Tamil Regular"	"Noto Sans Tamil"	"NotoSansTamil-Regular"	FALSE	FALSE	FALSE	NA
"327"	NA	"NotoSansTamilUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTamilUI-Bold.ttf"	"Noto Sans Tamil UI Bold"	"Noto Sans Tamil UI"	"NotoSansTamilUI-Bold"	TRUE	FALSE	FALSE	NA
"328"	NA	"NotoSansTamilUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTamilUI-Regular.ttf"	"Noto Sans Tamil UI Regular"	"Noto Sans Tamil UI"	"NotoSansTamilUI-Regular"	FALSE	FALSE	FALSE	NA
"329"	NA	"NotoSansTelugu-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTelugu-Regular.ttf"	"Noto Sans Telugu"	"Noto Sans Telugu"	"NotoSansTelugu"	FALSE	FALSE	FALSE	NA
"330"	NA	"NotoSansTelugu-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTelugu-Bold.ttf"	"Noto Sans Telugu Bold"	"Noto Sans Telugu"	"NotoSansTelugu-Bold"	TRUE	FALSE	FALSE	NA
"331"	NA	"NotoSansTeluguUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTeluguUI-Regular.ttf"	"Noto Sans Telugu UI"	"Noto Sans Telugu UI"	"NotoSansTeluguUI"	FALSE	FALSE	FALSE	NA
"332"	NA	"NotoSansTeluguUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTeluguUI-Bold.ttf"	"Noto Sans Telugu UI Bold"	"Noto Sans Telugu UI"	"NotoSansTeluguUI-Bold"	TRUE	FALSE	FALSE	NA
"333"	NA	"NotoSansThaana-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansThaana-Regular.ttf"	"Noto Sans Thaana"	"Noto Sans Thaana"	"NotoSansThaana"	FALSE	FALSE	FALSE	NA
"334"	NA	"NotoSansThaana-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansThaana-Bold.ttf"	"Noto Sans Thaana Bold"	"Noto Sans Thaana"	"NotoSansThaana-Bold"	TRUE	FALSE	FALSE	NA
"335"	NA	"NotoSansThai-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansThai-Bold.ttf"	"Noto Sans Thai Bold"	"Noto Sans Thai"	"NotoSansThai-Bold"	TRUE	FALSE	FALSE	NA
"336"	NA	"NotoSansThai-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansThai-Regular.ttf"	"Noto Sans Thai Regular"	"Noto Sans Thai"	"NotoSansThai-Regular"	FALSE	FALSE	FALSE	NA
"337"	NA	"NotoSansThaiUI-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansThaiUI-Bold.ttf"	"Noto Sans Thai UI Bold"	"Noto Sans Thai UI"	"NotoSansThaiUI-Bold"	TRUE	FALSE	FALSE	NA
"338"	NA	"NotoSansThaiUI-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansThaiUI-Regular.ttf"	"Noto Sans Thai UI Regular"	"Noto Sans Thai UI"	"NotoSansThaiUI-Regular"	FALSE	FALSE	FALSE	NA
"339"	NA	"NotoSansTibetan-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTibetan-Regular.ttf"	"Noto Sans Tibetan"	"Noto Sans Tibetan"	"NotoSansTibetan"	FALSE	FALSE	FALSE	NA
"340"	NA	"NotoSansTibetan-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTibetan-Bold.ttf"	"Noto Sans Tibetan Bold"	"Noto Sans Tibetan"	"NotoSansTibetan-Bold"	TRUE	FALSE	FALSE	NA
"341"	NA	"NotoSansTifinagh-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansTifinagh-Regular.ttf"	"Noto Sans Tifinagh Regular"	"Noto Sans Tifinagh"	"NotoSansTifinagh-Regular"	FALSE	FALSE	FALSE	NA
"342"	NA	"NotoSansVai-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSansVai-Regular.ttf"	"Noto Sans Vai Regular"	"Noto Sans Vai"	"NotoSansVai-Regular"	FALSE	FALSE	FALSE	NA
"343"	NA	"NotoSerifArmenian-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSerifArmenian-Bold.ttf"	"Noto Serif Armenian Bold"	"Noto Serif Armenian"	"NotoSerifArmenian-Bold"	TRUE	FALSE	FALSE	NA
"344"	NA	"NotoSerifArmenian-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSerifArmenian-Regular.ttf"	"Noto Serif Armenian Regular"	"Noto Serif Armenian"	"NotoSerifArmenian-Regular"	FALSE	FALSE	FALSE	NA
"345"	NA	"NotoSerifBengali-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSerifBengali-Regular.ttf"	"Noto Serif Bengali"	"Noto Serif Bengali"	"NotoSerifBengali"	FALSE	FALSE	FALSE	NA
"346"	NA	"NotoSerifBengali-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSerifBengali-Bold.ttf"	"Noto Serif Bengali Bold"	"Noto Serif Bengali"	"NotoSerifBengali-Bold"	TRUE	FALSE	FALSE	NA
"347"	NA	"NotoSerif-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSerif-Bold.ttf"	"Noto Serif Bold"	"Noto Serif"	"NotoSerif-Bold"	TRUE	FALSE	FALSE	NA
"348"	NA	"NotoSerif-BoldItalic.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSerif-BoldItalic.ttf"	"Noto Serif Bold Italic"	"Noto Serif"	"NotoSerif-BoldItalic"	TRUE	TRUE	FALSE	NA
"349"	NA	"NotoSerifDevanagari-Regular.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSerifDevanagari-Regular.ttf"	"Noto Serif Devanagari"	"Noto Serif Devanagari"	"NotoSerifDevanagari"	FALSE	FALSE	FALSE	NA
"350"	NA	"NotoSerifDevanagari-Bold.afm.gz"	"/usr/share/fonts/truetype/noto/NotoSerifDevanagari-Bold.ttf"	"Noto Serif Devanagari Bold"	"Noto Serif Devanagari"	"NotoSerifDevanagari-Bold"	TRUE	FALSE	FALSE	NA
